video_name,classIDx
2-19.mp4,2
16-2.mp4,16
11-9.mp4,11
15-10.mp4,15
27-7.mp4,27
24-9.mp4,24
2-20.mp4,2
10-9.mp4,10
19-3.mp4,19
0-9.mp4,0
11-19.mp4,11
21-8.mp4,21
19-25.mp4,19
13-15.mp4,13
1-3.mp4,1
27-9.mp4,27
11-8.mp4,11
19-32.mp4,19
4-8.mp4,4
23-27.mp4,23
19-33.mp4,19
23-16.mp4,23
19-19.mp4,19
15-28.mp4,15
13-5.mp4,13
14-18.mp4,14
11-18.mp4,11
21-5.mp4,21
7-5.mp4,7
2-8.mp4,2
0-4.mp4,0
13-10.mp4,13
26-13.mp4,26
7-10.mp4,7
7-12.mp4,7
24-10.mp4,24
2-16.mp4,2
18-5.mp4,18
8-5.mp4,8
9-5.mp4,9
15-22.mp4,15
13-20.mp4,13
10-11.mp4,10
24-3.mp4,24
14-8.mp4,14
26-16.mp4,26
22-6.mp4,22
7-18.mp4,7
7-1.mp4,7
2-12.mp4,2
12-6.mp4,12
14-9.mp4,14
12-7.mp4,12
12-1.mp4,12
12-3.mp4,12
26-9.mp4,26
18-8.mp4,18
6-7.mp4,6
21-3.mp4,21
3-1.mp4,3
9-13.mp4,9
9-1.mp4,9
13-16.mp4,13
16-6.mp4,16
9-6.mp4,9
18-9.mp4,18
7-9.mp4,7
2-18.mp4,2
19-2.mp4,19
15-6.mp4,15
18-6.mp4,18
26-10.mp4,26
10-6.mp4,10
14-15.mp4,14
11-14.mp4,11
5-2.mp4,5
23-22.mp4,23
27-1.mp4,27
9-8.mp4,9
26-3.mp4,26
19-5.mp4,19
23-3.mp4,23
1-2.mp4,1
2-23.mp4,2
27-8.mp4,27
